ลำดับที่,ชื่อแหล่งธรรมชาติ,ประเภทที่,ประเภทแหล่ง,ตำบล,อำเภอ,จังหวัด,ภาค,ละติจูด,ลองจิจูด,ความสำคัญ,ลักษณะของพื้นที่
70,น้ำตกเขาพัง (น้ำตกไทรโยคน้อย),5,น้ำตก,ท่าเสา,ไทรโยค,กาญจนบุรี,ตะวันตก,14.238521,99.058321,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นน้ำตกขนาดเล็ก ที่ยังคงสภาพความเป็นธรรมชาติที่สวยงามร่มรื่น มีน้ำไหลลงมาที่บริเวณหน้าผา ตกลงสู่โขดหินที่ลดหลั่นกันลงมา แล้วจึงไหลเป็นธารน้ำสู่แอ่งน้ำเบื่องล่าง ด้านบนของน้ำตกมีการค้นพบถ้ำสวรรค์-วังบาดาล ซึ่งเป็นถ้ำขนาดเล็ก มีความสวยงามมาก
71,น้ำตกไทรโยคใหญ่,5,น้ำตก,ไทรโยค,ไทรโยค,กาญจนบุรี,ตะวันตก,14.436906,98.851137,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นน้ำตกขนาดเล็ก มีอีกชื่อหนึ่งว่า น้ำตกเขาโจน เพราะน้ำที่ตกลงมาจากหน้าผาสู่แม่น้ำแควน้อยแรงมากราวกับกระโจนลงมา น้ำตกไทรใหญ่จะมีน้ำตลอดปี แต่น้ำจะแรงมากในฤดูฝน ความเด่นของน้ำตก คือ ที่ด้านหน้าของน้ำตกอยู่บนลำน้ำแคว
72,น้ำตกห้วยแม่ขมิ้น,5,น้ำตก,แม่กระบุง,ศรีสวัสดิ์,กาญจนบุรี,ตะวันตก,14.6375,98.9875,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เกิดจากลำห้วยแม่ขมิ้นที่ไหลผ่านเทือกเขาหินปูนลดหลั่นลงมาเป็นชั้น ๆ ก่อให้เกิดน้ำตกที่สวยงามทั้งหมด 7 ชั้น ไหลลงมาจากเขื่อนศรีนครินทร์ ความงามของม่านน้ำตกที่ไหลลดหลั่นกันลงมาเป็นชั้นเล็กชั้นน้อย มีความสวยงามมาก
73,น้ำตกเอราวัณ (เขาสลอบ),5,น้ำตก,ท่ากระดาน,ศรีสวัสดิ์,กาญจนบุรี,ตะวันตก,14.368333,99.143889,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,"เป็นน้ำตกขนาดใหญ่ที่มีความสวยงามมาก มีความยาวประมาณ 2 กิโลเมตร มีทั้งหมด 7 ชั้น ธารน้ำตกไหลลงมาตามชั้นหินที่เป็นตะกอนหินปูนเกิดเป็นชั้น ๆ กลมมนคล้ายหัวช้างสามเศียรหรือที่เรียกว่า ""ช้างเอราวัณ"" จึงเป็นที่มาของ ""อุทยานแห่งชาติเอราวัณ"""
74,สวนหิน (กาญจนบุรี),10,ธรณีสัณฐานและภูมิลักษณวรรณา,ทุ่งนาคราช,เมืองกาญจนบุรี,กาญจนบุรี,ตะวันตก,13.989834,99.453941,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,สวนหินหรือลานหินผุดมีลักษณะเป็นโขดหินปูนเตี้ย ๆ มีรูปร่างและขนาดต่าง ๆ กัน กระจายอยู่ตามที่ราบระหว่างเขาและที่ลาดเนินเขา ที่ระดับความสูง 55-60 เมตร เหนือระดับน้ำทะเลปานกลาง
75,เขางู,3,ภูเขา,เกาะพลับพลา,เมืองราชบุรี,ราชบุรี,ตะวันตก,13.568889,99.774722,เป็นเอกลักษณ์ของท้องถิ่นและเป็นสถานที่ศักดิ์สิทธิ์,เป็นภูเขาหินปูนอยู่ในอำเภอเมือง จังหวัดราชบุรี เคยเป็นแหล่งระเบิดหินปูน ต่อมาจึงได้พัฒนาเป็นสวนสาธารณะเขางู มีทัศนียภาพที่งดงาม เทือกเขาต่าง ๆ มีความลดหลั่นกันคล้ายงูเลื้อย อีกทั้งยังเป็นแหล่งโบราณคดีที่หาได้ยาก
76,ถ้ำเขาบิน,4,ถ้ำ,หินกอง,เมืองราชบุรี,ราชบุรี,ตะวันตก,13.592777,99.665897,เป็นเอกลักษณ์ของท้องถิ่น,เป็นถ้ำที่มีโครงสร้างทางธรรมชาติที่ดี หายาก ภายในถ้ำเต็มไปด้วยหินงอกหินย้อยที่มีความสวยงาม
77,ถ้ำจอมพล,4,ถ้ำ,จอมบึง,จอมบึง,ราชบุรี,ตะวันตก,13.626724,99.589069,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญและเป็นสถานที่ศักดิ์สิทธิ์,เป็นถ้ำที่มีหินงอกหินย้อยภายในที่มีความงดงามแปลกตา ลักษณะของหินงอกหินย้อยจะคล้ายม่านน้ำตกขนาดใหญ่ หรือเครื่องประดับยศจอมพล
78,เขาเจ้าลาย,3,ภูเขา,เขาใหญ่,ชะอำ,เพชรบุรี,ตะวันตก,12.835742,99.95141,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญและเป็นเอกลักษณ์ของท้องถิ่น,ป็นภูเขาที่เป็นประติมากรรมทางธรรมชาติ มีลักษณะสวยงามและเป็นเอกลักษณ์ ทอดยาวตามแนวเหนือ-ใต้ มองดูคล้ายนางยักษ์ (นางพันธุรัต) นอนอยู่ มีโกศอยู่ทางทิศใต้ บนเขามีถ้ำและสามารถมองเห็นทิวทัศน์สวยงาม
79,เขาวัง (เพชรบุรี),3,ภูเขา,คลองกระแซง,เมืองเพชรบุรี,เพชรบุรี,ตะวันตก,13.10915735,99.93657048,เป็นเอกลักษณ์ของท้องถิ่น,เป็นภูเขาหินปูนขนาดย่อมสูงประมาณ 92 เมตร รัชกาลที่ 4 ทรงสร้างพระราชวังสำหรับแปรพระราชฐานขึ้นบนเขาวัง ซึ่งเขาวังนี้ประกอบด้วยยอดเขาใหญ่ ๆ 3 ยอดด้วยกัน คือ ยอดเขาด้านทิศตะวันออก เขายอดกลาง และยอดเขาด้านทิศตะวันตก
80,ถ้ำเขาหลวง,4,ถ้ำ,ธงชัย,เมืองเพชรบุรี,เพชรบุรี,ตะวันตก,13.13519,99.932943,เป็นที่ประดิษฐานพระพุทธรูปปางมารวิชัยที่รัชกาลที่ 5 สร้างเป็นพระราชกุศลแด่ราชวงศ์จักรี,เป็นถ้ำที่เกี่ยวกับประวัติศาสตร์และเป็นที่ประดิษฐานพระพุทธรูปปรางมารวิชัย ซึ่งรัชกาลที่ 5 ทรงสร้างถวายเป็นพระราชกุศลแก่ราชวงศ์จักรี
81,หาดเจ้าสำราญ,8,ชายหาด,เจ้าสำราญ,เมืองเพชรบุรี,เพชรบุรี,ตะวันตก,13.005589,100.065123,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญและเกี่ยวข้องทางประวัติศาสตร์,เป็นหาดที่มีโครงสร้างทางธรรมชาติที่ดี มีทัศนียภาพที่สวยงาม และเกี่ยวข้องกับประวัติศาสตร์ เป็นหาดทรายยาวตามแนวชายฝั่ง และมีจุดชมวิวที่สามารถมองเห็นได้ชัดเจน
82,หาดชะอำ,8,ชายหาด,ชะอำ,ชะอำ,เพชรบุรี,ตะวันตก,12.7945,99.984086,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นหาดที่มีโครงสร้างตามธรรมชาติที่สวยงาม เดิมเป็นสถานที่พักผ่อนของเจ้านายชั้นผู้ใหญ่ในสมัยก่อน ปัจจุบันเป็นสถานที่ท่องเที่ยวตากอากาศที่มีชื่อเสียงแห่งหนึ่งของจังหวัดเพชรบุรี
83,น้ำตกห้วยยาง,5,น้ำตก,ห้วยยาง,ทับสะแก,ประจวบคีรีขันธ์,ตะวันตก,11.625278,99.613889,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นโครงสร้างทางธรรมชาติที่ดี หายาก และทัศนียภาพที่สวยงาม น้ำตกมี 5 ชั้น สภาพพื้นที่บริเวณน้ำตกชุ่มชื่นสวยงาม มีโขดหินขนาดใหญ่มากมาย รวมทั้งชั้นหินที่มีลักษณะเป็นแอ่งน้ำ ซึ่งมีธารน้ำไหลลงสู่เบื้องล่างอีกชั้นหนึ่ง
84,หาดวนกร,8,ชายหาด,ห้วยยาง,ทับสะแก,ประจวบคีรีขันธ์,ตะวันตก,11.636159,99.703499,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นพื้นที่ที่มีโครงสร้างทางธรรมชาติที่ดี หายาก และมีทัศนียภาพที่สวยงาม เป็นหาดทรายที่มีทรายละเอียดขาวสะอาด ทอดตัวเป็นแนวยาวสลับกับหัวกรังที่ยื่นลงไปในทะเลเป็นตอน ๆ
85,หาดหัวหิน (ประจวบคีรีขันธ์),8,ชายหาด,หัวหิน,หัวหิน,ประจวบคีรีขันธ์,ตะวันตก,12.569722,99.961389,มีโครงสร้างทางธรรมชาติที่ดี ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,หาดหัวหินนั้นนับว่าเป็นโครงสร้างทางธรรมชาติที่ดี หายาก และมีทัศนียภาพที่สวยงาม เป็นชายหาดที่มีหาดทรายขาวละเอียด เป็นแหล่งท่องเที่ยวพักตากอากาศที่มีชื่อเสียงแห่งแรกของเมืองไทย และเป็นสถานที่พักตากอากาศที่มีชื่อเสียงระดับโลก
86,เขาเต่า,3,ภูเขา,หนองแก,หัวหิน,ประจวบคีรีขันธ์,ตะวันตก,12.455278,99.978611,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,ลักษณะของเขาเต่าเป็นโครงสร้างทางธรรมชาติที่ดี หายาก และมีทัศนียภาพที่สวยงาม เป็นภูเขาหินปูนที่สวยงาม สามารถมองเห็นวิวได้ 360 องศา
87,ดอนหอยหลอด,8,ชายหาด,บางจะเกร็ง,เมืองสมุทรสงคราม,สมุทรสงคราม,กลาง,13.361792,100.023104,แหล่งท่องเที่ยวสำคัญของจังหวัด,เป็นสถานที่ที่มีความเป็นเอกลักษณ์หรือสัญลักษณ์ท้องถิ่นของเมืองสมุทรสงคราม และมีลักษณะเด่นที่หาพบได้ยากในประเทศไทย เพราะเป็นที่อยู่อาศัยของหอยหลายชนิด โดยเฉพาะหอยหลอด ซึ่งจัดว่าเป็นพื้นที่ที่พบหอยหลอดได้มากที่สุดในบริเวณชายฝั่งอ่าวไทยทั้งหมด
88,น้ำตกนางรอง,5,น้ำตก,หินตั้ง,เมืองนครนายก,นครนายก,กลาง,14.327778,101.318889,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นน้ำตกขนาดกลางไหลลงมาตามโขดหินขนาดใหญ่ ลดหลั่นกันเป็นชั้น ๆ เป็นทางยาวประมาณ 100 เมตร สภาพแวดล้อมรอบข้างบริเวณร่มรื่นมีต้นน้ำอยู่ในเขตอุทยานแห่งชาติเขาใหญ่
89,น้ำตกสาริกา,5,น้ำตก,สาริกา,เมืองนครนายก,นครนายก,กลาง,14.308333,101.255,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นน้ำตกขนาดใหญ่ สายน้ำไหลตกจากหน้าผาสูงชันเป็นทอด ๆ ถึง 9 ชั้น ผาที่สูงที่สุดประมาณ 100 เมตร แต่ละชั้นมีอ่างรับน้ำขนาดย่อม เหมาะแก่การลงเล่นน้ำ แต่ในฤดูฝนจะมีปริมาณน้ำมาก
90,แก่งสลัดได,2,แก่ง,บุฝ้าย,ประจันตคาม,ปราจีนบุรี,ตะวันออก,14.185278,101.593889,เป็นแหล่งต้นน้ำลำธารจากอุทยานแห่งชาติเขาใหญ่และเป็นแหล่งศึกษาด้านวิทยาศาสตร์และภูมิศาสตร์,เป็นน้ำตกที่มีลักษณะเป็นแก่งน้ำกว้าง มีสะพานแขวนทอดข้ามน้ำตกตะคร้อ สภาพเป็นแก่งน้ำไหลตามหุบเขาเทือกเขาใหญ่ มีน้ำไหลเชี่ยวเฉพาะหน้าฝน ไหลลดระดับตามแก่งหิน สองฝากมีเนินเขา และมีป่าโปร่งเหมาะแก่การเดินเล่นและพักผ่อน
91,น้ำตกเขาอีโต้,5,น้ำตก,บ้านพระ,เมืองปราจีนบุรี,ปราจีนบุรี,ตะวันออก,14.15151,101.409502,เป็นเอกลักษณ์ของท้องถิ่น,เป็นลำธารขนาดใหญ่ ที่มีเอกลักษณ์ของท้องถิ่น
92,น้ำตกห้วยเกษียร,5,น้ำตก,ดงขี้เหล็ก,เมืองปราจีนบุรี,ปราจีนบุรี,ตะวันออก,14.165276,101.447938,เป็นเอกลักษณ์ของท้องถิ่น,เป็น้ำตกที่อยู่บริเวณที่ราบเชิงเขา ระหว่างเขาชีปิด และเทือกเขาอีกแนวหนึ่ง ทำให้พื้นที่มีลักษณะเป็นแอ่งเว้า มีชั้นเดียวสูงประมาณ 2 เมตร
93,เขาหินซ้อน,3,ภูเขา,เขาหินซ้อน,พนมสารคาม,ฉะเชิงเทรา,ตะวันออก,13.7605,101.5114,เป็นเอกลักษณ์ของท้องถิ่น,เป็นเขาที่มีก้อนหินทรายสีขาวนวลขนาดใหญ่ ตั้งซ้อน ๆ กัน หลายขนาดตามธรรมชาติ แลดูสวยงามเเละแปลกตา ซึ่งมีความเป็นเอกลักษณ์หรือสัญลักษณ์ของท้องถิ่น
94,เกาะสีชัง,1,เกาะ,ท่าเทววงษ์,เกาะสีชัง,ชลบุรี,ตะวันออก,13.150801,100.810029,เป็นเอกลักษณ์ของท้องถิ่นและเป็นสถานที่มีความสำคัญทางประวัติศาสตร์,"เป็นเอกลักษณ์ของท้องถิ่น และมีสถานที่ที่มีความสำคัญเกี่ยวกับประวัติศาสตร์ เช่น พระราชวัง และพระตำหนักต่าง ๆ ในรัชกาลที่ 5 ซึ่งอยู่ทางทิศใต้ของเกาะ เป็นบริเวณเขตพระราชฐานเดิม ถ้ำต่าง ๆ ศาลเจ้า ""เจ้าพ่อเข้าใหญ่"" เป็นต้น"
95,หาดบางแสน,8,ชายหาด,แสนสุข,เมืองชลบุรี,ชลบุรี,ตะวันออก,13.284356,100.91492,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นหาดทรายริมทะเลอ่าวไทยแห่งหนึ่ง เป็นสถานที่ท่องเที่ยวที่เป็นที่รู้จักและนิยมมาอย่างยาวนานของนักท่องเที่ยว บริเวณชายหาดมีเส้นทางปูนที่สองข้างทางร่มรื่นด้วยต้นมะพร้าวเป็นทิวแถมยาวมองแล้วสวยงาม
96,หาดพัทยา,8,ชายหาด,นาเกลือ,บางละมุง,ชลบุรี,ตะวันออก,12.931389,100.878611,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญและมีชื่อเสียงมากที่สุดแห่งหนึ่งของประเทศไทย,เป็นหาดที่มีลักษณะเป็นโครงสร้างตามธรรมชาติที่ดี เป็นสถานที่ท่องเที่ยวยอดนิยมตั้งแต่อดีตจวบจนปัจจุบันของทั้งชาวไทยและชาวต่างชาติ มีความยาวประมาณ 3 กิโลเมตร หาดพัทยา แบ่งเป็นช่วงได้ 3 ช่วงคือ  พัทยาเหนือ พัทยากลาง และพัทยาใต้
97,หาดจอมเทียน,8,ชายหาด,หนองปรือ,บางละมุง,ชลบุรี,ตะวันออก,12.891389,100.873056,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,"เป็นหาดที่มีโครงสร้างทางธรรมชาติที่ดี เดิมเรียกว่า ""หาดดงตาล"" เพราะมีต้นตาลตลอดเเนว มีหาดทรายขาวสะอาดและมีทรายสีน้ำตาลอ่อน ลักษณะเนื้อทรายค่อนข้างหยาบ เป็นแหล่งท่องเที่ยวที่ค่อนช้างเงียบสงบ มีสถานที่พักผ่อน เล่นน้ำ และกิจกรรมกีฬาทางน้ำ"
98,น้ำตกเขาชะเมา (น้ำตกคลองน้ำใส),5,น้ำตก,น้ำเป็น,เขาชะเมา,ระยอง,ตะวันออก,12.915006,101.73679,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นน้ำตกที่มีโครงสร้างทางธรรมชาติที่ดี หายาก และมีทัศนียภาพที่สวยงาม มีต้นกำเนิดมาจากยอดเขาชะเมา ไหลลงมาเป็นระยะทาง 3 กิโลเมตร ลักษณะเป็นธารน้ำใส รองรับน้ำตกขนาดใหญ่ บริเวณโดยรอบมีความร่มรื่น สวยงาม
99,น้ำตกธรรมรส,5,น้ำตก,ป่ายุบใน,วังจันทร์,ระยอง,ตะวันออก,13.005,101.4275,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นน้ำตกขนาดกลาง มีความกว้างประมาณ 3.5 เมตร บริเวณน้ำตกค่อนข้างลาดชันแต่ไม่สูงมาก ส่วนพื้นที่ด้านล่างน้ำตกเป็นที่ราบ ในฤดูเเล้งน้ำจะน้อย แต่หน้าฝนน้ำตกจะสวยงามมาก
100,หาดทรายแก้ว (เกาะเสม็ด ระยอง),8,ชายหาด,เพ,เมืองระยอง,ระยอง,ตะวันออก,12.5675,101.464444,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นหาดที่มีโครงสร้างทางธรรมชาติที่ดี หายาก และมีทัศนียภาพที่สวยงาม เป็นชายหาดที่มีทรายละเอียดเหมือนแป้ง มีความขาวละเอียดดุจแก้ว น้ำทะเลใส สวยงาม และไม่มีโขดหินมาบดบังวิวสวย ๆ ของน้ำทะเล
101,หาดแม่รำพึง,8,ชายหาด,ตะพง,เมืองระยอง,ระยอง,ตะวันออก,12.610833,101.383889,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,ตัวหาดมีโครงสร้างทางธรรมชาติที่ดี หายาก มีทัศนียภาพที่สวยงาม เป็นสถานที่ท่องเที่ยวที่สำคัญแห่งหนึ่งในจังหวัดระยอง น้ำทะเลสีคราม สดใส มองเห็นทรายสวยงาม
102,แหลมแม่พิมพ์,8,ชายหาด,กร่ำ,แกลง,ระยอง,ตะวันออก,12.648611,101.620556,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นหาดที่มีโครงสร้างทางธรรมชาติที่ดี หายาก และมีทัศนียภาพที่สวยงาม เป็นชายหาดชื่อดังแห่งหนึ่งของจังหวัดระยอง นักท่องเที่ยวนิยมมาเที่ยวพักผ่อนกันมากตลอดทั้งปี
103,น้ำตกพลิ้ว,5,น้ำตก,พลิ้ว,แหลมสิงห์,จันทบุรี,ตะวันออก,12.530054,102.184532,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญและเกี่ยวข้องกับประวัติศาสตร์,"เป็นน้ำตกที่มีโครงสร้างทางธรรมชาติที่ดี หายาก มีทัศนียภาพที่สวยงาม และเป็นน้ำตกที่มีพระมหากษัตริย์ของไทย 3 รัชกาล คือ รัชกาลที่ 5, 6 และ 7 ได้เคยเสด็จมาทอดพระเนตรความสวยงามและได้จารึกพระปรมาภิไธยย่อไว้บนก้อนหินขนาดใหญ่ บริเวณหน้าผาเหนือต้นน้ำตกพลิ้ว"
104,น้ำตกกระทิง,5,น้ำตก,พลวง,เขาคิชฌกูฏ,จันทบุรี,ตะวันออก,12.839167,102.120833,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นน้ำตกขนาดใหญ่ที่มีโครงสร้างทางธรรมชาติที่ดี หายาก และมีทัศนียภาพที่สวยงาม ต้นน้ำเกิดจากเทือกเขาคิชฌกูฏ มีชั้นน้ำตก 13 ชั้น สภาพทางขึ้นมีความชื้นและชัน
105,หาดคุ้งวิมาน,8,ชายหาด,คลองขุด,ท่าใหม่,จันทบุรี,ตะวันออก,12.593056,101.88,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นหาดทรายสลับกับแนวหาดหิน มีโขดหินเป็นหย่อม ๆ ชายหาดมีแนวต้นไม้ที่สร้างความร่มรื่นแก่นักท่องเที่ยว สามารถลงเล่นน้ำได้บางช่วง มีภูเขาที่ช่วยเสริมให้ทัศนียภาพของหาดสวยงามขึ้น
106,แหลมเสด็จคุ้งกระเบน,8,ชายหาด,คลองขุด,ท่าใหม่,จันทบุรี,ตะวันออก,12.578333,101.892222,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นหาดที่มีโครงสร้างทางธรรมชาติที่ดี หายาก และมีทัศนียภาพที่สวยงาม เป็นแหล่งท่องเที่ยวและศึกษาหาความรู้
107,แหลมสิงห์,8,ชายหาด,ปากน้ำแหลมสิงห์,แหลมสิงห์,จันทบุรี,ตะวันออก,12.479444,102.064722,เป็นเอกลักษณ์ของท้องถิ่นและเกี่ยวข้องกับประวัติศาสตร์,เป็นชายหาดที่มีความเป็นเอกลักษณ์ของท้องถิ่น และมีความสัมพันธ์เกี่ยวกับประวัติศาสตร์ เป็นชายหาดสีน้ำตาลอมแดงปนดินเลนเนื่องจากเป็นปากอ่าวที่แม่น้ำจันทบุรีไหลออกมา
108,หาดทรายแก้ว (ตราด),8,ชายหาด,แหลมกลัด,เมืองตราด,ตราด,ตะวันออก,12.038056,102.754722,เป็นเอกลักษณ์ของท้องถิ่น,เป็นหาดที่มีความเป็นเอกลักษณ์ของท้องถิ่น มีโครงสร้างทางธรรมชาติที่สวยงาม และเป็นแหล่งท่องเที่ยวที่เหมาะสำหรับพักผ่อนและชมธรรมชาติ ชายหาดขาวสะอาด ทัศนียภาพงดงามโดยเฉพาะช่วงดวงอาทิตย์ตกดิน
109,หาดบานชื่น,8,ชายหาด,ไม้รูด,คลองใหญ่,ตราด,ตะวันออก,11.892778,102.788611,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นหาดที่มีโครงสร้างทางธรรมชาติที่ดี หายากและมีทัศนียภาพที่สวยงาม เงียบสงบเหมาะสำหรับการมาพักผ่อน
110,หาดสุขสำราญ (หาดไม้รูด),8,ชายหาด,ไม้รูด,คลองใหญ่,ตราด,ตะวันออก,11.929167,102.778611,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นชายหาดที่มีโครงสร้างตามธรรมชาติที่ดี และยังคงความสมบูรณ์ของธรรมชาติที่ดี เป็นชายหาดปนโขดหิน มีความยาวของหาดประมาณ 2 กิโลเมตร ทรายขาวละเอียด สวยงามและเป็นแหล่งเที่ยวของจังหวัด
111,อ่าวตาลคู่,8,ชายหาด,บางปิด,แหลมงอบ,ตราด,ตะวันออก,12.203333,102.279722,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นหาดทรายที่มีลักษณะโครงสร้างเป็นรูปตัวยู (U) นับได้ว่าเป็นหาดที่ต่อเนื่องมาจากชายทะเลจังหวัดจันทบุรี ความยาวของหาดประมาณ 1 กิโลเมตร ลักษณะเด่นของอ่าวตาลคู่ คือ เม็ดทรายที่มีสีแดงละเอียดมีความแปลกตาไม่เหมือนที่ใด พื้นทรายราบ สีค่อนข้างแดง มีโขดหินอยู่ประปราย
112,แหลมงอบ,8,ชายหาด,แหลมงอบ,แหลมงอบ,ตราด,ตะวันออก,12.170405,102.392422,เป็นเอกลักษณ์ของท้องถิ่นและมีท่าเทียบเรือที่สำคัญ,เป็นหาดที่มีเอกลักษณ์ของท้องถิ่น รวมทั้งเป็นที่ตั้งท่าเทียบเรือเฟอร์รี่ข้ามไปเกาะช้าง
113,เสาหินเหลี่ยม,10,ธรณีสัณฐานและภูมิลักษณวรรณา,ประณีต,เขาสมิง,ตราด,ตะวันออก,12.57639,102.374901,เป็นแหล่งศึกษาทางวิทยาศาสตร์ ธรณีวิทยา ภูมิศาสตร์ และโบราณคดี,เป็นแท่งหินอัคนีที่วางเรียงรายกับคล้ายเทวสถาน มีสีน้ำตาลเข้ม เป็นรูปสี่เหลี่ยมถึงเก้าเหลี่ยม ยาวประมาณ 30 เซนติเมตร น้ำหนักตั้งแต่ 10 กิโลกรัม ถึง 100 กิโลกรัม บางก้อนเคาะดูจะมีเสียงคล้ายระฆัง
114,ผาเกิ้ง (ชัยภูมิ),3,ภูเขา,กุดชุมแสง,หนองบัวแดง,ชัยภูมิ,ตะวันออกเฉียงเหนือ,16.005019,101.892461,เป็นจุดชมทัศนียภาพที่สวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,"ผาเกิ้งเป็นชะง่อนผายื่นออกมาลักษณะครึ่งวงกลมเหมือนพระจันทร์ครึ่งเสี้ยว จึงเรียกผานี้ว่า ""ผาเกิ้ง"" บริเวณผาเกิ้งเป็นจุดชมวิวทิวทัศน์ เป็นแหล่งท่องเที่ยวที่มีลักษณะภูมิประเทศเป็นภูเขาสลับซับซ้อนที่มีความสวยงาม"
115,ถ้ำวัวแดง (ชัยภูมิ),4,ถ้ำ,ถ้ำวัวแดง,หนองบัวแดง,ชัยภูมิ,ตะวันออกเฉียงเหนือ,16.075833,101.44,เป็นที่ประดิษฐานพระพุทธรูปและเป็นที่ปฏิบัติธรรมของพระสงฆ์และชาวบ้าน,เป็นถ้ำขนาดเล็ก ภายในถ้ำมีพระพุทธรูปประดิษฐานอยู่เป็นจำนวนมาก บริเวณนอกถ้ำเป็นสำนักสงฆ์ถ้ำวัวแดง ในบริเวณเดียวกันยังมีถ้ำใหญ่น้อยหลายแห่ง เช่น ถ้ำยายชี ถ้ำบ่อทอง เป็นต้น
116,น้ำตกตาดโตน (ชัยภูมิ),5,น้ำตก,นาฝาย,เมืองชัยภูมิ,ชัยภูมิ,ตะวันออกเฉียงเหนือ,15.981944,102.038889,แหล่งท่องเที่ยวสำคัญของจังหวัดและของภาคตะวันออกเฉียงเหนือ,เป็นน้ำตกที่มีลานหินกว้างลดหลั่นเป็นชั้น ๆ สวยงามมาก โดยเฉพาะในฤดูน้ำหลาก สองข้างลำธารมีพันธุ์ไม้ต่าง ๆ ขึ้นร่มรื่น
117,หนองแวง (ชัยภูมิ),7,แหล่งน้ำ,คอนสวรรค์,คอนสวรรค์,ชัยภูมิ,ตะวันออกเฉียงเหนือ,15.928333,102.278333,เป็นเขตรักษาพันธุ์สัตว์ป่าจำพวกนก,เป็นบึงธรรมชาติขนาดกลาง รูปอ่างค่อนข้างกลม มีถนนวงเเหวนสามารถขับรถได้รอบบึง ในช่วงฤดูหนาวระหว่างเดือนพฤศจิกายน-เดือนเมษายน จะมีนกเป็ดน้ำอพยพจากที่อื่นมาอาศัยอยู่เป็นจำนวนมากกว่า 4 หมื่นตัว และยามเย็นโพล้เพล้ นกเป็ดน้ำจะโผลบินขึ้นเป็นฝูง ๆ เต็มท้องฟ้า
118,บึงละหาน (ชัยภูมิ),7,แหล่งน้ำ,ละหาน,จัตุรัส,ชัยภูมิ,ตะวันออกเฉียงเหนือ,15.615278,101.890833,"เป็นแหล่งขยายพันธ์ปลารวมทั้งเป็นแหล่งน้ำประปา, ทำประมงและจัดประเพณีทางน้ำ",เป็นแหล่งน้ำขนาดใหญ่เป็นอันดับที่ 4 ของประเทศไทย เป็นแหล่งทรัพยากรธรรมชาติอันอุดมสมบูรณ์และยังมีระบบนิเวศที่ดี บึงละหานได้รับเลือกให้เข้าอยู่ในทะเบียนรายนามพื้นที่ชุ่มน้ำที่มีความสำคัญระดับนานาชาติของไทย มีความสำคัญต่อนกที่อาศัยอยู่ในพื้นที่ชุ่มน้ำ
