ชื่อย่านชุมชนเก่า,ตำบล,อำเภอ,จังหวัด,ภาค,ละติจูด,ลองจิจูด,ประกาศมรดกจังหวัด
ละหาร,ละหาร,ยี่งอ,นราธิวาส,ใต้,6.402439926,101.7356819,
ตันหยงมัส,ตันหยงมัส,ระแงะ,นราธิวาส,ใต้,6.291302276,101.7089197,
ตลาดสุไหงปาดี,ปะลุรู,สุไหงปาดี,นราธิวาส,ใต้,6.086689564,101.8805052,
บ้านหนองม่วง,ป่าคา,ท่าวังผา,น่าน,เหนือ,19.07436688,100.7937504,20/10/2021
บ้านหนองบัว,ป่าคา,ท่าวังผา,น่าน,เหนือ,19.08896625,100.786017,20/10/2021
ทุ่งช้าง,ทุ่งช้าง,ทุ่งช้าง,น่าน,เหนือ,19.40356258,100.8783467,
บ้านงอบ,ทุ่งช้าง,ทุ่งช้าง,น่าน,เหนือ,19.48696411,100.895082,20/10/2021
บ้านปากนาย,นาทะนุง,นาหมื่น,น่าน,เหนือ,18.05446797,100.6806885,20/10/2021
บ่อหลวง,บ่อเกลือใต้,บ่อเกลือ,น่าน,เหนือ,19.14987246,101.1553515,20/10/2021
บ้านนาปัง,นาปัง,ภูเพียง,น่าน,เหนือ,18.71,100.78,26/10/2023
ท่าล้อ,ฝายแก้ว,ภูเพียง,น่าน,เหนือ,18.77666601,100.784197,28/10/2022
บ้านดอนไชย,กลางเวียง,เวียงสา,น่าน,เหนือ,18.565197,100.764041,26/10/2023
บ้านห้วยหยวก,แม่ขะนิง,เวียงสา,น่าน,เหนือ,18.81330159,100.5300054,25/10/2021
คุณธรรม,บึงโขงหลง,บึงโขงหลง,บึงกาฬ,ตะวันออกเฉียงเหนือ,17.96621777,104.0491168,
บ้านดอนกลาง-บ้านบึงโขงหลง,บึงโขงหลง,บึงโขงหลง,บึงกาฬ,ตะวันออกเฉียงเหนือ,17.96316008,104.042137,
ชุมชนบุ่งคล้า,บุ่งคล้า,บุ่งคล้า,บึงกาฬ,ตะวันออกเฉียงเหนือ,18.29174434,103.9927541,
ชุมชนกุดทิง,กุดทิง,เมืองบึงกาฬ,บึงกาฬ,ตะวันออกเฉียงเหนือ,18.31580483,103.7205124,
ชุมชนบึงกาฬ,บึงกาฬ,เมืองบึงกาฬ,บึงกาฬ,ตะวันออกเฉียงเหนือ,18.35956826,103.6604442,
ชุมชนประชาสันติสุข,นางรอง,นางรอง,บุรีรัมย์,ตะวันออกเฉียงเหนือ,14.6346077,102.7942665,
ชุมชนโดยรอบปราสาทหินเมืองต่ำ,จระเข้มาก,ประโคนชัย,บุรีรัมย์,ตะวันออกเฉียงเหนือ,14.49540671,102.9821474,26/8/2022
ชุมชนเมืองเก่า,ประโคนชัย,ประโคนชัย,บุรีรัมย์,ตะวันออกเฉียงเหนือ,14.61045582,103.0799356,26/8/2022
ชุมชนพุทไธสง,พุทไธสง,พุทไธสง,บุรีรัมย์,ตะวันออกเฉียงเหนือ,15.54462862,103.0025483,
ชุมชนคูเมืองเก่า,ในเมือง,เมืองบุรีรัมย์,บุรีรัมย์,ตะวันออกเฉียงเหนือ,14.99657888,103.1137782,
ชุมชนริมสถานีรถไฟ,ในเมือง,เมืองบุรีรัมย์,บุรีรัมย์,ตะวันออกเฉียงเหนือ,15.00267856,103.1087835,
ชุมชนตลาดน้ำคลองสาม (วัดกลางคลองสาม),คลองสาม,คลองหลวง,ปทุมธานี,กลาง,14.08331957,100.664289,
ชุมชนปากคลอง 5,บึงยี่โถ,ธัญบุรี,ปทุมธานี,กลาง,14.00797286,100.7096058,
ชุมชนเก่าตลาดรังสิต,ประชาธิปัตย์,ธัญบุรี,ปทุมธานี,กลาง,13.98226213,100.6048495,
ชุมชนปากคลอง 7,ลำผักกูด,ธัญบุรี,ปทุมธานี,กลาง,14.0237128,100.7458326,
ชุมชนตลาดคลองระแหง,คลองพระอุดม,ลาดหลุมแก้ว,ปทุมธานี,กลาง,14.04385091,100.4191679,
ชุมชนปากคลอง 11,บึงทองหลาง,ลำลูกกา,ปทุมธานี,ตะวันออก,14.05994515,100.8472254,
ชุมชนปากคลอง 13,พืชอุดม,ลำลูกกา,ปทุมธานี,ตะวันออก,14.07437528,100.8892126,
ชุมชนกุยบุรี,กุยบุรี,กุยบุรี,ประจวบคีรีขันธ์,กลาง,12.06801387,99.86584207,
ชุมชนตลาดริมทางรถไฟทับสะแก,ทับสะแก,ทับสะแก,ประจวบคีรีขันธ์,กลาง,11.4988948,99.62092053,
ชุมชนรอบสถานีรถไฟบางสะพานใหญ่,กำเนิดนพคุณ,บางสะพาน,ประจวบคีรีขันธ์,กลาง,11.21198854,99.51125105,
ชุมชนรอบสถานีรถไฟบ้านกรูด,ธงชัย,บางสะพาน,ประจวบคีรีขันธ์,กลาง,11.34727032,99.5556136,
ชุมชนตลาดริมทางรถไฟบางสะพานน้อย,บางสะพาน,บางสะพานน้อย,ประจวบคีรีขันธ์,กลาง,11.08392444,99.45985524,
ชุมชนตลาดริมทางรถไฟปราณบุรี (บ้านเมืองเก่า),ปราณบุรี,ปราณบุรี,ประจวบคีรีขันธ์,กลาง,12.37813708,99.92693989,
ชุมชนปากน้ำปราณบุรี,ปากน้ำปราณ,ปราณบุรี,ประจวบคีรีขันธ์,กลาง,12.40685618,99.99245158,
ชุมชนคลองวาฬ,คลองวาฬ,เมืองประจวบคีรีขันธ์,ประจวบคีรีขันธ์,กลาง,11.75231692,99.791245,
ชุมชนตลาดริมทางรถไฟประจวบคีรีขันธ์,ประจวบคีรีขันธ์,เมืองประจวบคีรีขันธ์,ประจวบคีรีขันธ์,กลาง,11.80747272,99.79530564,
ชุมชนตลาดริมทางรถไฟสามร้อยยอด (บ้านไร่เก่า),ไร่เก่า,สามร้อยยอด,ประจวบคีรีขันธ์,กลาง,12.21466441,99.88116383,
ชุมชนบ้านบางปู,สามร้อยยอด,สามร้อยยอด,ประจวบคีรีขันธ์,กลาง,12.2058362,100.0069212,
ชุมชนตลาดเก่าหัวหิน,หัวหิน,หัวหิน,ประจวบคีรีขันธ์,กลาง,12.57294509,99.95916319,
ชุมชนตลาดเก่ากบินทร์บุรี,กบินทร์,กบินทร์บุรี,ปราจีนบุรี,ตะวันออก,13.99223996,101.7188234,
ชุมชนย่านการค้าถนนหน้าเมือง,หน้าเมือง,เมืองปราจีนบุรี,ปราจีนบุรี,ตะวันออก,14.05275285,101.3700143,
ชุมชนตลาดศรีมหาโพธิ,ศรีมหาโพธิ์,ศรีมหาโพธิ์,ปราจีนบุรี,ตะวันออก,13.97253296,101.5132769,
บริเวณวัดต้นศรีมหาโพธิ์,โคกปีบ,ศรีมโหสถ,ปราจีนบุรี,ตะวันออก,13.87274866,101.4040696,
ชุมชนโคกปีบ,โคกปีบ,ศรีมโหสถ,ปราจีนบุรี,ตะวันออก,13.89076081,101.4002556,
ควนลังงา,ทรายขาว,โคกโพธิ์,ปัตตานี,ใต้,6.672978041,101.101078,
บ้านพิเทน,พิเทน,ทุ่งยางแดง,ปัตตานี,ใต้,6.67130049,101.4568403,
ตันหยงลุโละ,ตันหยงลุโละ,เมืองปัตตานี,ปัตตานี,ใต้,6.880123652,101.305044,
กรือเซะ,ตันหยงลุโละ,เมืองปัตตานี,ปัตตานี,ใต้,6.871572172,101.2985077,
บาราเฮาะ,บาราเฮาะ,เมืองปัตตานี,ปัตตานี,ใต้,6.826480816,101.2723619,
รูสะมิแล,รูสะมิแล,เมืองปัตตานี,ปัตตานี,ใต้,6.874626194,101.2232683,
สะบารัง,สะบารัง,เมืองปัตตานี,ปัตตานี,ใต้,6.86483595,101.2463702,
หัวตลาด,อาเนาะรู,เมืองปัตตานี,ปัตตานี,ใต้,6.869900433,101.2576163,
ตะโละกาโปว์,ตะโละกาโปร์,ยะหริ่ง,ปัตตานี,ใต้,6.895449876,101.3756201,
บางปู (บ้านบาลอดูวอ),บางปู,ยะหริ่ง,ปัตตานี,ใต้,6.872908614,101.3587682,
ยามู,ยามู,ยะหริ่ง,ปัตตานี,ใต้,6.862899181,101.3701266,
บูดี,แหลมโพธิ์,ยะหริ่ง,ปัตตานี,ใต้,6.935332873,101.3054992,
ตะโละสะมิแล,แหลมโพธิ์,ยะหริ่ง,ปัตตานี,ใต้,6.929802874,101.3163944,
ดาโต๊ะ,แหลมโพธิ์,ยะหริ่ง,ปัตตานี,ใต้,6.915638775,101.3340217,
ตลาดสายบุรี,ตะลุบัน,สายบุรี,ปัตตานี,ใต้,6.702318126,101.623052,
ปะเสยะวอ,ปะเสยะวอ,สายบุรี,ปัตตานี,ใต้,6.724129501,101.6247312,
ท่ากำชำ,ท่ากำชำ,หนองจิก,ปัตตานี,ใต้,6.836440322,101.0858128,
ตันหยงเปาว์,บางเขา,หนองจิก,ปัตตานี,ใต้,6.855934725,101.0960562,
ชุมชนตลาดท่าเรือ,ท่าเรือ,ท่าเรือ,พระนครศรีอยุธยา,กลาง,14.56429426,100.7239429,
ชุมชนหมู่บ้านริมคลองบางบาล,วัดยม,บางบาล,พระนครศรีอยุธยา,กลาง,14.39341084,100.4789671,
ชุมชนบ้านแสงโสม,ขนอนหลวง,บางปะอิน,พระนครศรีอยุธยา,กลาง,14.2811586,100.5785797,
ชุมชนบ้านกรด (วัดขนอน),บ้านกรด,บางปะอิน,พระนครศรีอยุธยา,กลาง,14.29516592,100.6051191,
ชุมชนรอบสถานีรถไฟบางปะอิน,บ้านเลน,บางปะอิน,พระนครศรีอยุธยา,กลาง,14.23131302,100.5804501,
ชุมชนหมู่บ้านริมคลองลาดชิด,ลาดชิด,ผักไห่,พระนครศรีอยุธยา,กลาง,14.44388708,100.3627283,
ชุมชนตลาดลาดชะโด,หนองน้ำใหญ่,ผักไห่,พระนครศรีอยุธยา,กลาง,14.46076439,100.3194919,
ชุมชนคลองตะเคียน,คลองตะเคียน,พระนครศรีอยุธยา,พระนครศรีอยุธยา,กลาง,14.32413894,100.563794,
ชุมชนปากกราน,ปากกราน,พระนครศรีอยุธยา,พระนครศรีอยุธยา,กลาง,14.32862427,100.5479473,
ชุมชนตลาดหัวรอ,สวนพริก,พระนครศรีอยุธยา,พระนครศรีอยุธยา,กลาง,14.36340455,100.5739348,
ชุมชนตลาดเจ้าพรหม,หอรัตนไชย,พระนครศรีอยุธยา,พระนครศรีอยุธยา,กลาง,14.35757274,100.5777416,
ชุมชนบ้านภาชี,ภาชี,ภาชี,พระนครศรีอยุธยา,กลาง,14.45031954,100.7224985,
ชุมชนเจ้าเจ็ด,เจ้าเจ็ด,เสนา,พระนครศรีอยุธยา,กลาง,14.31341482,100.376712,
ชุมชนตลาดบ้านแพน,บ้านแพน,เสนา,พระนครศรีอยุธยา,กลาง,14.32561986,100.4030568,
ชุมชนรางจระเข้,รางจระเข้,เสนา,พระนครศรีอยุธยา,กลาง,14.34639572,100.3813022,
เวียงลอ,ลอ,จุน,พะเยา,เหนือ,19.44586706,100.090205,
วัดเชียงบาน,เชียงบาน,เชียงคำ,พะเยา,เหนือ,19.51361599,100.28573,
วัดแสนเมืองมา,หย่วน,เชียงคำ,พะเยา,เหนือ,19.52090647,100.3006937,
วัดหย่วน,หย่วน,เชียงคำ,พะเยา,เหนือ,19.5279888,100.297917,
ภูกามยาว,ดงเจน,ภูกามยาว,พะเยา,เหนือ,19.22737824,99.94926035,
วัดก๊อหลวง (วัดก๊อซาว),ทุ่งกล้วย,ภูซาง,พะเยา,เหนือ,19.58578786,100.3596459,
วัดสบบง,สบบง,ภูซาง,พะเยา,เหนือ,19.57074798,100.2985424,
วัดตุ่นใต้,บ้านตุ่น,เมืองพะเยา,พะเยา,เหนือ,19.14881687,99.8391394,
ศรีโคมคำ,เวียง,เมืองพะเยา,พะเยา,เหนือ,19.17762084,99.88982541,
หนองระบู,เวียง,เมืองพะเยา,พะเยา,เหนือ,19.16736835,99.9061931,
ท่ากว๊าน,เวียง,เมืองพะเยา,พะเยา,เหนือ,19.16530976,99.90200833,
ท่าแป๊ะโย้ย เกาะพระทอง,เกาะพระทอง,คุระบุรี,พังงา,ใต้,9.152126012,98.29806558,
อ่าวบอนใหญ่ เกาะสุรินทร์,คุระบุรี,คุระบุรี,พังงา,ใต้,9.405000808,97.86253151,
ทุ่งหว้า,คึกคัก,ตะกั่วป่า,พังงา,ใต้,8.682714246,98.25180919,
ตลาดใหญ่ เมืองตะกั่วป่า,ตะกั่วป่า,ตะกั่วป่า,พังงา,ใต้,8.828593653,98.3645222,
ทับตะวัน,บางม่วง,ตะกั่วป่า,พังงา,ใต้,8.803430924,98.26397333,
หินลาด,ท้ายเหมือง,ท้ายเหมือง,พังงา,ใต้,8.513027473,98.23884365,
ตลาดท้ายเหมือง,ท้ายเหมือง,ท้ายเหมือง,พังงา,ใต้,8.393416099,98.25959379,
ทับปลา,ท้ายเหมือง,ท้ายเหมือง,พังงา,ใต้,8.486267832,98.25640501,
เกาะปันหยี,ตะกั่วทุ่ง,เมืองพังงา,พังงา,ใต้,8.335925564,98.50280665,
ตลาดเขาชัยสน,เขาชัยสน,เขาชัยสน,พัทลุง,ใต้,7.463492827,100.1379036,
อ่าวบาเต็ง,จองถนน,เขาชัยสน,พัทลุง,ใต้,7.487883689,100.2082359,
ทะเลน้อย,พนางตุง,ควนขนุน,พัทลุง,ใต้,7.78203292,100.1208925,
ตลาดปากคลอง,มะกอกเหนือ,ควนขนุน,พัทลุง,ใต้,7.737099998,100.0771647,
ตลาดบางแก้ว,ท่ามะเดื่อ,บางแก้ว,พัทลุง,ใต้,7.423206224,100.169303,
ปากพะยูน,ปากพะยูน,ปากพะยูน,พัทลุง,ใต้,7.350166533,100.3206195,
ท่าน้ำหัวนอน,ลำปำ,เมืองพัทลุง,พัทลุง,ใต้,7.621959696,100.1468531,
ตลาดเก่าลำปำ,ลำปำ,เมืองพัทลุง,พัทลุง,ใต้,7.623792121,100.1455475,
ปากประ,ลำปำ,เมืองพัทลุง,พัทลุง,ใต้,7.693970918,100.1440499,
ย่านสี่กั๊ก ตลาดเมืองพัทลุง,เสกัก,เมืองพัทลุง,พัทลุง,ใต้,7.6190001,100.0846176,
ตรอกกล้าตะพานหิน,ตะพานหิน,ตะพานหิน,พิจิตร,เหนือ,16.21232803,100.4243896,
ตลาดตะพานหิน,ตะพานหิน,ตะพานหิน,พิจิตร,เหนือ,16.2216357,100.4216849,
ตลาดบางมูลนาก,บางมูลนาก,บางมูลนาก,พิจิตร,เหนือ,16.03079985,100.379055,
ท่าฬ่อ,ท่าฬ่อ,เมืองพิจิตร,พิจิตร,เหนือ,16.51669353,100.3292549,
วังกรด,วังกรด,เมืองพิจิตร,พิจิตร,เหนือ,16.40202851,100.3920039,
นครไทย,นครไทย,นครไทย,พิษณุโลก,เหนือ,17.09902023,100.8344637,
พรหมพิราม,พรหมพิราม,พรหมพิราม,พิษณุโลก,เหนือ,17.03369612,100.1990821,
ปากพิงตะวันตก,งิ้วงาม,เมืองพิษณุโลก,พิษณุโลก,เหนือ,16.66375986,100.2366876,
ท่ามะปราง,ท่ามะปราง,เมืองพิษณุโลก,พิษณุโลก,เหนือ,16.81138773,100.2596026,20/10/2021
ชุมชนชาวแพ,ในเมือง,เมืองพิษณุโลก,พิษณุโลก,เหนือ,16.81052508,100.2567276,
บ้านใหม่,วัดพริก,เมืองพิษณุโลก,พิษณุโลก,เหนือ,16.68879383,100.2707707,
ตาปะขาวหาย,หัวรอ,เมืองพิษณุโลก,พิษณุโลก,เหนือ,16.84856985,100.2561746,
ตลาดวังทอง,วังทอง,วังทอง,พิษณุโลก,เหนือ,16.821191,100.42773,20/10/2021
ชุมชนกะเหรี่ยงบ้านสองพี่น้อง,สองพี่น้อง,แก่งกระจาน,เพชรบุรี,ใต้,12.89650061,99.63269499,
ชุมชนไทดำบ้านเขาย้อย,เขาย้อย,เขาย้อย,เพชรบุรี,ใต้,13.23582908,99.82511278,
ชุมชนไทดำบ้านหนองปรง,หนองปรง,เขาย้อย,เพชรบุรี,ใต้,13.16811136,99.83816922,
ชุมชนตลาดท่ายาง,ท่ายาง,ท่ายาง,เพชรบุรี,ใต้,12.97339923,99.89269123,
บ้านหนองจอก,หนองจอก,ท่ายาง,เพชรบุรี,ใต้,12.95367,99.96747,10/1/2023
ชุมชนตลาดบ้านลาด,บ้านลาด,บ้านลาด,เพชรบุรี,ใต้,13.05092931,99.91869447,
ชุมชนบ้านไร่สะท้อน,ไร่สะท้อน,บ้านลาด,เพชรบุรี,ใต้,13.01611474,99.86426824,
ชุมชนบ้านท้ายหลวง,สะพานไกร,บ้านลาด,เพชรบุรี,ใต้,13.09426766,99.87123659,
ชุมชนบางตะบูน,บางตะบูน,บ้านแหลม,เพชรบุรี,ใต้,13.26867599,99.9517109,
ชุมชนตลาดเก่าบ้านแหลม,บ้านแหลม,บ้านแหลม,เพชรบุรี,ใต้,13.21403325,99.98150038,
ชุมชนเมืองเพชรบุรี,ท่าราบ,เมืองเพชรบุรี,เพชรบุรี,ใต้,13.10422956,99.94892939,
ชุมชนบ้านกุ่ม,บ้านกุ่ม,เมืองเพชรบุรี,เพชรบุรี,ใต้,13.13705696,99.94971534,
บ้านม้งเข็กน้อย,เข็กน้อย,เขาค้อ,เพชรบูรณ์,เหนือ,16.81493703,100.9730816,16/1/2023
บ้านสะเดียง,สะเดียง,เมืองเพชรบูรณ์,เพชรบูรณ์,เหนือ,16.42279653,101.1378066,16/1/2023
บ้านนาตะกรุด,ศรีเทพ,ศรีเทพ,เพชรบูรณ์,เหนือ,15.47133964,101.1486081,11/5/2021
ศรีเทพ,ศรีเทพ,ศรีเทพ,เพชรบูรณ์,เหนือ,15.4715462,101.1495592,
หล่มเก่า,หล่มเก่า,หล่มเก่า,เพชรบูรณ์,เหนือ,16.88965157,101.2250354,11/5/2021
บ้านทุ่งโฮ้ง,ทุ่งโฮ้ง,เมืองแพร่,แพร่,เหนือ,18.17036413,100.1696325,22/2/2022
ไตลื้อบ้านถิ่น,บ้านถิ่น,เมืองแพร่,แพร่,เหนือ,18.145052,100.204988,30/9/2022
บ้านแม่คำมีท่ามีล้อ,แม่คำมี,เมืองแพร่,แพร่,เหนือ,18.26080447,100.2101673,
บ้านดง,สวนเขื่อน,เมืองแพร่,แพร่,เหนือ,18.12549456,100.1990796,22/2/2022
เวียงสันทราย,บ้านเวียง,ร้องกวาง,แพร่,เหนือ,18.22356678,100.2851503,
บ้านปิน,บ้านปิน,ลอง,แพร่,เหนือ,18.09789895,99.86413353,
เวียงลองเก่า,ปากกาง,ลอง,แพร่,เหนือ,18.03441721,99.78249522,
เวียงต้า,เวียงต้า,ลอง,แพร่,เหนือ,18.26589384,99.99091063,
ชุมชนเก่าลอง,ห้วยอ้อ,ลอง,แพร่,เหนือ,18.0747101,99.82754976,
บ้านแม่บงเหนือ,แม่ป้าก,วังชิ้น,แพร่,เหนือ,17.99552637,99.68323756,
ตรอกสลอบ,วังชิ้น,วังชิ้น,แพร่,เหนือ,17.89560455,99.603211,22/2/2022
ท่าสัก,ป่าคลอก,ถลาง,ภูเก็ต,ใต้,8.083140336,98.38665564,
ปูดำ,ไม้ขาว,ถลาง,ภูเก็ต,ใต้,8.166397381,98.3031933,10/11/2023
มอร์แกนหินลูกเดียว,ไม้ขาว,ถลาง,ภูเก็ต,ใต้,8.179474984,98.30403773,30/9/2022
แหลมหลา,ไม้ขาว,ถลาง,ภูเก็ต,ใต้,8.197348518,98.30094894,
สะปำ,เกาะแก้ว,เมืองภูเก็ต,ภูเก็ต,ใต้,7.943539075,98.39855091,30/9/2022
ย่านเมืองเก่าภูเก็ต,ตลาดใหญ่,เมืองภูเก็ต,ภูเก็ต,ใต้,7.885267882,98.38680496,
แหลมตุ๊กแก เกาะสิเหร่,รัษฎา,เมืองภูเก็ต,ภูเก็ต,ใต้,7.874222109,98.42049003,
หาดราไวย์,ราไวย์,เมืองภูเก็ต,ภูเก็ต,ใต้,7.776171419,98.32888445,
ชุมชนเมืองโบราณบ้านสระ,คันธารราษฎร์,กันทรวิชัย,มหาสารคาม,ตะวันออกเฉียงเหนือ,16.30885083,103.3009391,
ชุมชนญ้อภูไท ท่าขอนยาง,ท่าขอนยาง,กันทรวิชัย,มหาสารคาม,ตะวันออกเฉียงเหนือ,16.23386382,103.2664934,
ชุมชนเมืองเก่า,หัวขวาง,โกสุมพิสัย,มหาสารคาม,ตะวันออกเฉียงเหนือ,16.24320882,103.0717505,
ชุมชนพยัคฆภูมิพิสัย,ปะหลาน,พยัคฆภูมิพิสัย,มหาสารคาม,ตะวันออกเฉียงเหนือ,15.51449541,103.1966732,
ชุมชนบ้านเมืองเตา,เมืองเตา,พยัคฆภูมิพิสัย,มหาสารคาม,ตะวันออกเฉียงเหนือ,15.51181718,103.3866528,
ชุมชนบ้านหม้อ,เขวา,เมืองมหาสารคาม,มหาสารคาม,ตะวันออกเฉียงเหนือ,16.17430468,103.3422656,
ชุมชนเมืองโบราณบ้านเชียงเหียน,เขวา,เมืองมหาสารคาม,มหาสารคาม,ตะวันออกเฉียงเหนือ,16.1547388,103.371715,
ชุมชนบ้านปรางค์กู่,เขวา,เมืองมหาสารคาม,มหาสารคาม,ตะวันออกเฉียงเหนือ,16.15798497,103.4153085,
ชุมชนเมืองเก่ามหาสารคาม,ตลาด,เมืองมหาสารคาม,มหาสารคาม,ตะวันออกเฉียงเหนือ,16.18339011,103.3071264,
ชุมชนบ้านหนองหล่ม อ.ดอนตาล,โพธิ์ไทร,ดอนตาล,มุกดาหาร,ตะวันออกเฉียงเหนือ,16.40473044,104.8578693,
ชุมชนบ้านภู อ.หนองสูง,บ้านเป้า,หนองสูง,มุกดาหาร,ตะวันออกเฉียงเหนือ,16.44036822,104.3351367,
ชุมชนบ้านสองคอน อ.หว้านใหญ่,ป่งขาม,หว้านใหญ่,มุกดาหาร,ตะวันออกเฉียงเหนือ,16.77590874,104.7362137,
บ้านเมืองปอน,เมืองปอน,ขุนยวม,แม่ฮ่องสอน,เหนือ,18.74271529,97.927326,
บ้านต่อแพ,แม่เงา,ขุนยวม,แม่ฮ่องสอน,เหนือ,18.80429427,97.90471797,
บ้านถ้ำลอด,ถ้ำลอด,ปางมะผ้า,แม่ฮ่องสอน,เหนือ,19.5745271,98.27913703,
บ้านแม่ละนา,ปางมะผ้า,ปางมะผ้า,แม่ฮ่องสอน,เหนือ,19.59408587,98.21695513,
บ้านเมืองแพม,แม่ยาว,ปางมะผ้า,แม่ฮ่องสอน,เหนือ,19.58371444,98.30786049,
บ้านจ่าโบ่,แม่ยาว,ปางมะผ้า,แม่ฮ่องสอน,เหนือ,19.58487846,98.20624132,
ย่านถนนสิงหนาถบำรุง,จองคำ,เมืองแม่ฮ่องสอน,แม่ฮ่องสอน,เหนือ,19.30102846,97.96894012,
บ้านปางหมู,ปางหมู,เมืองแม่ฮ่องสอน,แม่ฮ่องสอน,เหนือ,19.35519806,97.9593601,
บ้านในสอย,ปางหมู,เมืองแม่ฮ่องสอน,แม่ฮ่องสอน,เหนือ,19.38021557,97.8783063,
บ้านห้วยเสือเฒ่า,ผาบ่อง,เมืองแม่ฮ่องสอน,แม่ฮ่องสอน,เหนือ,19.26002034,97.90382136,
บ้านรักไทย,หมอกจำแป่,เมืองแม่ฮ่องสอน,แม่ฮ่องสอน,เหนือ,19.58498421,97.94530401,
บ้านห้วยฮี้,ห้วยปูลิง,เมืองแม่ฮ่องสอน,แม่ฮ่องสอน,เหนือ,19.2106295,98.07606114,
บ้านรุ่งอรุณ,ห้วยผา,เมืองแม่ฮ่องสอน,แม่ฮ่องสอน,เหนือ,19.51927909,98.09795001,
บ้านห้วยห้อม,ห้วยห้อม,แม่ลาน้อย,แม่ฮ่องสอน,เหนือ,18.37738952,98.06598459,
บ้านป่าแป๋,ป่าแป๋,แม่สะเรียง,แม่ฮ่องสอน,เหนือ,18.28362719,98.05430992,
บ้านแม่หลุย,แม่สวด,สบเมย,แม่ฮ่องสอน,เหนือ,17.78420164,97.99739687,
บ้านแม่สามแลบ,แม่สามแลบ,สบเมย,แม่ฮ่องสอน,เหนือ,17.98156273,97.74206875,
ชุมชนกู่จาน,กู่จาน,คำเขื่อนแก้ว,ยโสธร,ตะวันออกเฉียงเหนือ,15.676236,104.3798672,
ชุมชนบ้านสงเปือย (ดงเมืองเตย),สงเปือย,คำเขื่อนแก้ว,ยโสธร,ตะวันออกเฉียงเหนือ,15.64879477,104.252601,
ชุมชนบ้านศรีฐาน,ศรีฐาน,ป่าติ้ว,ยโสธร,ตะวันออกเฉียงเหนือ,15.77789357,104.3364434,
ชุมชนบ้านดอนกลาง (วัดพระธาตุเก่า),ค้อเหนือ,เมืองยโสธร,ยโสธร,ตะวันออกเฉียงเหนือ,15.84744577,104.0765284,
ชุมชนบ้านตาดทอง,ตาดทอง,เมืองยโสธร,ยโสธร,ตะวันออกเฉียงเหนือ,15.78124061,104.1609298,
ชุมชนบ้านนาสะไมย์,นาสะไมย์,เมืองยโสธร,ยโสธร,ตะวันออกเฉียงเหนือ,15.88058996,104.2434369,
ชุมชนบ้านสิงห์ท่า,ในเมือง,เมืองยโสธร,ยโสธร,ตะวันออกเฉียงเหนือ,15.79141635,104.1407856,25/8/2022
ซาไกบ้านแหร,บ้านแหร,ธารโต,ยะลา,ใต้,6.105771217,101.1595129,
บ้าน กม. 4,ตาเนาะแมเราะ,เบตง,ยะลา,ใต้,5.80664837,101.0731589,
บ้าน กม. 9,ตาเนาะแมเราะ,เบตง,ยะลา,ใต้,5.823169693,101.1114519,
ตลาดเบตง,เบตง,เบตง,ยะลา,ใต้,5.774455997,101.0714631,
ท่าสาป,ท่าสาป,เมืองยะลา,ยะลา,ใต้,6.533485544,101.2452338,
ตลาดเสรีหรือตลาดเก่า,ทุ่งยาว,เมืองยะลา,ยะลา,ใต้,6.568585899,101.2965148,
กูเบ,บันนังสาเรง,เมืองยะลา,ยะลา,ใต้,6.485749741,101.249542,
เปาะเส้ง,เปาะเส้ง,เมืองยะลา,ยะลา,ใต้,6.506291466,101.2111887,
ยาลอ,ยะลา,เมืองยะลา,ยะลา,ใต้,6.522908512,101.1767737,
ปาโจ,ยะลา,เมืองยะลา,ยะลา,ใต้,6.515311848,101.1879602,
ย่านสายกลาง,สะเตง,เมืองยะลา,ยะลา,ใต้,6.547336376,101.2849325,
หน้าถ้ำ,หน้าถ้ำ,เมืองยะลา,ยะลา,ใต้,6.52341415,101.15596,
บาโงยซิแน,บาโงยซิแน,ยะหา,ยะลา,ใต้,6.532629303,101.2232852,
โกตาบารู,โกตาบารู,รามัน,ยะลา,ใต้,6.456913206,101.3441112,
ชุมชนเมืองบัว,เมืองบัว,เกษตรวิสัย,ร้อยเอ็ด,ตะวันออกเฉียงเหนือ,15.60620829,103.6010227,
ชุมชนบ้านสังข์,สีแก้ว,จังหาร,ร้อยเอ็ด,ตะวันออกเฉียงเหนือ,16.14862174,103.5296537,
ชุมชนฟืม (บ้านเขือง),เชียงขวัญ,เชียงขวัญ,ร้อยเอ็ด,ตะวันออกเฉียงเหนือ,16.16057313,103.7148769,
ชุมชนธวัชดินแดง,ธวัชบุรี,ธวัชบุรี,ร้อยเอ็ด,ตะวันออกเฉียงเหนือ,16.10904521,103.8460909,
ชุมชนเมืองเก่า,ในเมือง,เมืองร้อยเอ็ด,ร้อยเอ็ด,ตะวันออกเฉียงเหนือ,16.05789349,103.6538799,
ชุมชนสีแก้ว,สีแก้ว,เมืองร้อยเอ็ด,ร้อยเอ็ด,ตะวันออกเฉียงเหนือ,16.14143635,103.541966,
ชุมชนบ้านสังข์,ทุ่งกุลา,สุวรรณภูมิ,ร้อยเอ็ด,ตะวันออกเฉียงเหนือ,15.47321285,103.7972611,
ชุมชนบ้านน้ำคำ,สระคู,สุวรรณภูมิ,ร้อยเอ็ด,ตะวันออกเฉียงเหนือ,15.73518242,103.8347577,
